issue_num,datetime,body,login,close_date
12,2014-12-28 21:23:45,,VictorVation,2014-12-29 03:21:15
12,2014-12-29 03:21:11,"Great additions to the list! Thanks! :+1: 
",prakhar1989,2014-12-29 03:21:15
11,2014-12-28 20:10:06,,aaronwinter,2014-12-30 06:56:01
11,2014-12-28 20:15:54,"Thanks for the PR, Aaron! 

Looks like a great course, but sadly, from what I could see all assignments and lectures are behind a UWaterloo login. I'd love to add this course but can you please find links to course material that is available in the open? 

Happy Holidays :christmas_tree: 
",prakhar1989,2014-12-30 06:56:01
11,2014-12-29 06:00:48,"Yeah my bad, I assumed it was open for everybody. I will talk to the prof to see if it's possible.
",aaronwinter,2014-12-30 06:56:01
11,2014-12-29 06:05:15,"Sure! It would be great to have all this material available.
",prakhar1989,2014-12-30 06:56:01
11,2014-12-30 06:56:01,"Closing this for now. Feel free to reopen when you have an update :smile: 
",prakhar1989,2014-12-30 06:56:01
10,2014-12-28 18:34:07,,liam-middlebrook,2014-12-28 18:40:45
10,2014-12-28 18:40:41,"Quite different from the other courses in this list, interesting nevertheless. Thanks for the PR! :+1: 
",prakhar1989,2014-12-28 18:40:45
9,2014-12-27 11:22:35,"Add one more course from Stewart Weiss at Hunter College
",robbyoconnor,2014-12-30 06:58:03
9,2014-12-30 06:58:03,"I think we already have quite a few courses from Prof Weiss in this list. Links to this course are available from other course pages. Hope it makes sense. Cheers!
",prakhar1989,2014-12-30 06:58:03
9,2014-12-31 14:45:30,"I know -- this is a guy I find so much value in his course notes-- sorry for bombarding! 

You saw the notes, they're something I'd pay money for! 
",robbyoconnor,2014-12-30 06:58:03
9,2014-12-31 17:13:22,"I think it'd be good to have this here as well. I think this list is a good reference to quickly find courses. But chancing upon them through others kind of goes against that.

It sounds like this PR will preclude adding other courses from Prof. Weiss. However, If you're a newcomer and want to know about operating systems--which I came here looking for--you'd not find Prof. Weiss' courses in this list, and just assume there hadn't been any added. I know I was disappointed to only find the MIT OS course. But now I see Prof. Weiss' OS course that I found only because of this PR.
",joneshf,2014-12-30 06:58:03
9,2015-01-02 18:07:57,"Prof. Weiss' OS course website isn't as good...i think this PR should remain in the state it's in...

Stewart Weiss is a great guy who knows his stuff but his teaching...not so great. 
",robbyoconnor,2014-12-30 06:58:03
8,2014-12-26 09:03:18,,ArthurMG,2014-12-26 09:05:08
8,2014-12-26 09:05:05,"Thanks!
",prakhar1989,2014-12-26 09:05:08
7,2014-12-25 23:38:00,"The web programming might be a bit off from the general theme of the repo, but it's a fairly popular class over here.
",royels,2014-12-26 07:04:25
7,2014-12-26 05:53:14,"Great! Thanks for the PR. I believe CSE341 is more or less identical to the [coursera course](https://www.coursera.org/course/proglang) by Dan Grossman from UWash - which is fairly popular by itself. My idea was to keep this repo exclusive to courses which are not popular as a MOOC. What do you think?
",prakhar1989,2014-12-26 07:04:25
7,2014-12-26 06:32:26,"Hmm, this is true. I was debating including it, but went for it because I figured you'd let me know if that was the case :D . That being said, can you still access the course if you weren't in it to begin with? I know some coursera courses turn off non-enrolled students' access a bit after the course has ended. I can't tell if that's the case with 341 (because I was in it) , but if it is it might be worth adding to the repo. 

EDIT: Additionally, I'd suggest making it clearer that any pull requests should be made with directly university-offered courses, not MOOC's off edX or Coursera. I think most people would figure that out anyway, but it doesn't hurt to clarify :smile: 

2nd EDIT: just discovered these icons, woahhh!
",royels,2014-12-26 07:04:25
7,2014-12-26 07:02:34,"> That being said, can you still access the course if you weren't in it to begin with?

Good point. Plus the fact that the exams are available online might make it useful to some. Merging! 

Here's a [link](http://www.emoji-cheat-sheet.com/) to emoji cheat sheet. Knock yourself out :dancer: 
",prakhar1989,2014-12-26 07:04:25
6,2014-12-25 21:45:38,,materechm,2014-12-26 05:55:26
6,2014-12-26 05:55:21,"Looking good :+1: . Thank you and Happy Holidays :santa: 
",prakhar1989,2014-12-26 05:55:26
5,2014-12-25 18:24:12,"Added our first programming course as well...this guy's notes are worth money!
",robbyoconnor,2014-12-26 06:08:43
5,2014-12-26 06:08:40,":+1: 
",prakhar1989,2014-12-26 06:08:43
4,2014-12-25 16:40:44,"Add Some course notes from Professor Stewart Weiss at Hunter College
",robbyoconnor,2014-12-25 17:50:04
4,2014-12-25 17:46:45,"Nice
",kennyledet,2014-12-25 17:50:04
4,2014-12-25 17:49:57,"Glad that you made the courses more descriptive. :+1: Thanks!
",prakhar1989,2014-12-25 17:50:04
3,2014-12-25 15:13:36,"Added UC Berkeley CS61B Data Structures course based on Java :)

Happy Holidays!!
",kennyledet,2014-12-25 15:21:02
3,2014-12-25 15:20:59,"Merry Christmas :santa: to you Kendrick! Appreciate the PR! :+1: 
",prakhar1989,2014-12-25 15:21:02
3,2014-12-25 16:01:26,"No problem, Merry Christmas
",kennyledet,2014-12-25 15:21:02
2,2014-12-24 05:58:09,"Lab and lecture materials for the course are publicly available via GitHub
",crongray,2014-12-24 06:08:29
2,2014-12-24 06:08:34,"Thanks for the PR :+1: 
",prakhar1989,2014-12-24 06:08:29
1,2014-12-23 15:24:16,"Liked your curated list here. Thought I'd add a course I've worked through (online) and can vouch for. There's a lot of good material and interesting exercices, especially considering the two semesters (previous and now).
",giraj,2014-12-23 16:26:15
1,2014-12-23 16:26:13,"Appreciate the PR :+1: 
",prakhar1989,2014-12-23 16:26:15
